Feature,Importance
max_casualty_age,0.04976489415732793
average_casualty_age,0.04614282272018535
latitude,0.04032992123240269
location_northing_osgr,0.04031739755789168
location_easting_osgr,0.03929644925836932
longitude,0.03919629716791464
average_driver_age,0.0387656792656721
max_driver_age,0.03550419156787777
hour,0.0328156514512321
average_vehicle_age,0.030924085212503092
speed_limit,0.02995890618168759
max_vehicle_age,0.02894276816549723
most_common_casualty_type_9.0,0.025192265413755226
did_police_officer_attend_scene_of_accident_1.0,0.015254636149418167
urban_or_rural_area_2.0,0.014847243550264847
casualty_count,0.014273353084696712
number_of_casualties,0.013706273081618344
urban_or_rural_area_1.0,0.012927455699170842
number_of_vehicles,0.012711628864088644
most_common_casualty_type_5.0,0.011399132141365037
did_police_officer_attend_scene_of_accident_2.0,0.01002066921815118
second_road_class_0.0,0.009647930694724497
left_hand_drive_count_1.0,0.008530053533205942
pedestrian_count,0.008140558412410145
light_conditions_6.0,0.008014000745620675
light_conditions_1.0,0.007981142582323693
left_hand_drive_count_2.0,0.007646786328324454
first_road_class_3,0.00711601820106013
first_road_class_6,0.00701668066526488
most_common_casualty_type_0.0,0.006945875313925619
junction_detail_0.0,0.006291430992986541
most_common_casualty_type_1.0,0.005721345880830375
rush_hour_0,0.005712300643435973
rush_hour_1,0.005688416275777844
road_surface_conditions_1.0,0.005597311227775396
season_Autumn,0.005570721875596233
road_type_6.0,0.005512448131309642
season_Summer,0.005428584590759535
second_road_class_6.0,0.005383440363655188
road_surface_conditions_2.0,0.005381287204511601
season_Spring,0.005271927393002683
season_Winter,0.005191750086948109
day_of_week_6,0.0050140051933555
weekend_0,0.004889307557629872
weekend_1,0.004854190997442853
light_conditions_4.0,0.004853244790697944
weather_conditions_1.0,0.004852284695934556
junction_detail_13.0,0.004730471700618117
day_of_week_5,0.004667284051371165
day_of_week_4,0.004589610295242643
day_of_week_3,0.004586849478955025
day_of_week_2,0.004492400297416794
road_type_3.0,0.004452033735691447
police_force_1.0,0.0043686613820072134
first_road_class_4,0.004097559898363162
day_of_week_7,0.004056877592215907
most_common_casualty_type_3.0,0.003965037138747103
day_of_week_1,0.003851237373246294
pedestrian_crossing_0.0,0.0038363761480161916
second_road_class_3.0,0.0036363384170266786
weather_conditions_2.0,0.003582225019483527
collision_year_2024,0.003517473528856489
month_10,0.0034841559878671193
month_7,0.0034232060987880006
collision_year_2011,0.0033767348534139143
collision_year_2010,0.0033708009428397865
